1.389,42.1,110.3
0.467,8.7,114
0.322,0.7,91
0.038,4.2,121.3
0.644,0,125.1
0.936,26.6,107.7
0.089,15.7,168.7
0.109,0,175.5
0.016,82.5,130.3
11.666,298,68
20.048,307.2,86.7
12.433,245,103.8
3.178,38.2,107.5
1.286,8.5,141.1
1.035,11.2,93.2
0.557,0.1,110.4
0.592,13.9,111.4
0.903,0,149.2
0.509,100.5,130
3.861,192.2,107.5
7.606,138.1,123.5
3.851,64.6,119.5
10.52,256.1,70
6.029,161,96
4.171,127.8,101.7
0.405,58,86.3
0.697,16.6,61.8
0.466,0.2,123.5
0.616,5.9,110.9
0.789,22.3,114.2
0.541,8.9,160
1.436,99.9,108.6
2.996,177.6,117.4
7.081,191.3,111.8
11.937,308.3,90.9
10.242,232.7,111.7
5.345,106.2,102.9
1.303,5.7,110.3
0.779,0,113.8
0.769,0.9,100.8
0.574,21.4,102.4
0.869,23,109.2
0.379,5.9,171.7
0.099,24.4,161.3
2.403,151.6,112.4
11.844,277,92
2.182,44.6,127.7
1.785,70.4,131.9
1.184,17,118.5
0.044,4.1,124.4
0.329,1.5,125.2
0.598,17.5,100.3
0.158,8.4,141.2
0.993,1,163.6
0.114,26.6,176.4
0.064,57.5,138
0.935,39,177.1
7.597,310.5,91.4
8.811,110.5,112.3
8.471,241.2,83
5.114,77,88.6
1.629,19.6,103.7
0.192,0,119.7
0.646,0.9,122.4
0.608,0,158.6
0.836,5.7,150.7
1.101,22.4,164.5
1.594,0,176.2
0.142,112,115.9
4.684,132.1,63.4
5.353,120.2,55
7.573,188,59.4
5.007,45.2,92.3
0.808,4.1,90.8
0.599,6.2,88.6
1.043,2.2,99.5
1.256,2.5,108.9
0.939,3,145.1
0.417,3,158.8
0.913,7.1,158.5
1.687,15.1,164.1
2.865,173.3,95.9
2.069,60.1,94.4
2.008,52.5,120.1
0.733,51.8,115.9
0.324,3.9,117.6
1.779,48.2,91.2
0.886,0,122.3
0.156,4.3,128.5
0.01,5.3,129.8
0.797,59.6,100.4
2.935,105.6,116.9
2.633,132.7,91.5
6.408,178.5,98
6.395,165.6,73.8
8.338,161.2,75.9
1.576,30,90.1
1.351,1.5,135.9
1.306,35.9,78.3
0.843,3,107.6
1.118,0.6,125.1
1.033,5.7,113.2
0.98,18.1,106.5
0.705,46.5,94.6
0.494,107.1,139.7
3.404,65.9,102.6
3.574,95,93.6
1.801,21.5,121.6
0.332,19.2,110.3
0.147,0,154.6
0.469,10.4,138.8
0.186,0,114
0.093,50.3,105.7
0.04,0,149.6
0.476,14.5,103.1
0.037,49,121.8
0.831,97.8,134.9
9.687,249.1,101
3.247,53.3,93.4
6.453,104.4,107.7
1.364,38.7,77.4
0.633,8.5,121.4
0.318,7.9,118.7
0.987,0,93.5
1.262,14.2,129.8
1.386,4.9,152.2
1.704,69.3,137.6
2.802,65.8,129.1
6.704,194.7,103.1
12.965,331.3,98
14.641,181.2,82
7.116,88.4,96.9
6.101,95.1,90.3
1.872,26.6,117.3
0.992,0,113.9
1.058,0,113.9
0.772,0,148.2
0.951,4.1,138
0.914,44.5,190.9
0.954,57,109.4
1.853,127.3,121
2.512,141.2,123
5.026,199.7,107.8
7.726,157.8,104.7
2.053,38.1,112.8
0.855,0,120.5
0.861,0,104.6
0.812,0,125.8
1.199,0,140.5
1.183,19.8,143.7
0.993,17,185.7
0.754,40.5,163.3
